epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.973,0.78584,1.52189,1.17569,0.57856,0.85,0.87867,0.63494,1.63115,1.06929,1.37465,0,0,0
2,24.9116,0.9006,2.1998,1.2342,0.56779,0.85,0.87776,0.63471,1.64906,1.06169,1.37666,1.07219e-06,1.07219e-06,1.07219e-06
3,33.462,1.085,1.89751,1.4499,0.60236,0.85,0.84924,0.64989,1.64271,1.0467,1.37323,1.90876e-06,1.90876e-06,1.90876e-06
4,41.6148,1.08235,1.64249,1.40991,0.61364,0.85,0.85088,0.65038,1.64101,1.04797,1.37047,2.50971e-06,2.50971e-06,2.50971e-06
5,48.9878,0.95884,2.03871,1.3776,0.61956,0.85,0.87932,0.65405,1.61965,1.04093,1.3519,2.87504e-06,2.87504e-06,2.87504e-06
6,56.0221,1.05603,1.55116,1.46407,0.63138,0.85,0.85257,0.65157,1.61003,1.02462,1.34445,3.00475e-06,3.00475e-06,3.00475e-06
7,63.984,0.97865,1.61161,1.32889,0.63848,0.85,0.85249,0.65122,1.59491,1.03009,1.33876,2.89884e-06,2.89884e-06,2.89884e-06
8,71.6052,1.01396,1.80387,1.4257,0.65038,0.85,0.87424,0.65383,1.59582,1.02884,1.33836,2.55731e-06,2.55731e-06,2.55731e-06
9,79.6327,1.09782,1.61808,1.43401,0.65245,0.85,0.85918,0.64473,1.58325,1.02318,1.33113,1.98016e-06,1.98016e-06,1.98016e-06
10,86.2539,0.94089,1.49706,1.2459,0.65761,0.85,0.86173,0.64606,1.55832,1.01626,1.31949,1.16739e-06,1.16739e-06,1.16739e-06
